Name,Item Number,Item Description,Posting Group,Product Group Code
Company A/S,XYZ0001,Industrial Component A1,X98135/,3002
Company A/S,XYZ0002,Industrial Component B1,X98135/,3002
Company A/S,XYZ0003,Industrial Component C1,X98135/,3002
Company A/S,XYZ0004,Industrial Component D1,X98135/,3002
Company A/S,XYZ0005,Industrial Component E1,X98135/,3002
Company A/S,XYZ0006,Industrial Component F1,X98135/,3002
Company A/S,XYZ0007,Industrial Component G1,X98135/,3002
Company A/S,XYZ0008,Industrial Component H1,X98135/,3002
Company A/S,XYZ0009,Industrial Component I1,X98135/,3002
Company A/S,XYZ0010,Industrial Component J1,X98135/,3002
Company A/S,XYZ0011,Industrial Component K1,X98135/,3002
Company A/S,XYZ0012,Industrial Component L1,X98135/,3002
Company A/S,XYZ0013,Industrial Component M1,X98135/,3002
Company A/S,XYZ0014,Industrial Component N1,X98135/,3002
Company A/S,XYZ0015,Industrial Component O1,X98135/,3002
Company A/S,XYZ0016,Industrial Component P1,X98135/,3002
Company A/S,XYZ0017,Industrial Component Q1,X98135/,3002
Company A/S,XYZ0018,Industrial Component R1,X98135/,3002
Company A/S,XYZ0019,Industrial Component S1,X98135/,3002
Company A/S,XYZ0020,Industrial Component T1,X98135/,3002
Company A/S,XYZ0021,Industrial Component U1,X98135/,3002
Company A/S,XYZ0022,Industrial Component V1,X98135/,3002
Company A/S,XYZ0023,Industrial Component W1,X98135/,3002
Company A/S,XYZ0024,Industrial Component X1,X98135/,3002
Company A/S,XYZ0025,Industrial Component Y1,X98135/,3002
Company A/S,XYZ0026,Industrial Component Z1,X98135/,3002
Company A/S,XYZ0027,Industrial Component A2,X98135/,3002
Company A/S,XYZ0028,Industrial Component B2,X98135/,3002
Company A/S,XYZ0029,Industrial Component C2,X98135/,3002
Company A/S,XYZ0030,Industrial Component D2,X98135/,3002
Company A/S,XYZ0031,Industrial Component E2,X98135/,3002
Company A/S,XYZ0032,Industrial Component F2,X98135/,3002
Company A/S,XYZ0033,Industrial Component G2,X98135/,3002
Company A/S,XYZ0034,Industrial Component H2,X98135/,3002
Company A/S,XYZ0035,Industrial Component I2,X98135/,3002
Company A/S,XYZ0036,Industrial Component J2,X98135/,3002
Company A/S,XYZ0037,Industrial Component K2,X98135/,3002
Company A/S,XYZ0038,Industrial Component L2,X98135/,3002
Company A/S,XYZ0039,Industrial Component M2,X98135/,3002
Company A/S,XYZ0040,Industrial Component N2,X98135/,3002
Company A/S,XYZ0041,Industrial Component O2,X98135/,3002
Company A/S,XYZ0042,Industrial Component P2,X98135/,3002
Company A/S,XYZ0043,Industrial Component Q2,X98135/,3002
Company A/S,XYZ0044,Industrial Component R2,X98135/,3002
Company A/S,XYZ0045,Industrial Component S2,X98135/,3002
Company A/S,XYZ0046,Industrial Component T2,X98135/,3002
Company A/S,XYZ0047,Industrial Component U2,X98135/,3002
Company A/S,XYZ0048,Industrial Component V2,X98135/,3002
Company A/S,XYZ0049,Industrial Component W2,X98135/,3002
Company A/S,XYZ0050,Industrial Component X2,X98135/,3002
Company A/S,XYZ0051,Industrial Component Y2,X98135/,3002
Company A/S,XYZ0052,Industrial Component Z2,X98135/,3002
Company A/S,XYZ0053,Industrial Component A3,X98135/,3002
Company A/S,XYZ0054,Industrial Component B3,X98135/,3002
Company A/S,XYZ0055,Industrial Component C3,X98135/,3002
Company A/S,XYZ0056,Industrial Component D3,X98135/,3002
Company A/S,XYZ0057,Industrial Component E3,X98135/,3002
Company A/S,XYZ0058,Industrial Component F3,X98135/,3002
Company A/S,XYZ0059,Industrial Component G3,X98135/,3002
Company A/S,XYZ0060,Industrial Component H3,X98135/,3002
Company A/S,XYZ0061,Industrial Component I3,X98135/,3002
Company A/S,XYZ0062,Industrial Component J3,X98135/,3002
Company A/S,XYZ0063,Industrial Component K3,X98135/,3002
Company A/S,XYZ0064,Industrial Component L3,X98135/,3002
Company A/S,XYZ0065,Industrial Component M3,X98135/,3002
Company A/S,XYZ0066,Industrial Component N3,X98135/,3002
Company A/S,XYZ0067,Industrial Component O3,X98135/,3002
Company A/S,XYZ0068,Industrial Component P3,X98135/,3002
Company A/S,XYZ0069,Industrial Component Q3,X98135/,3002
Company A/S,XYZ0070,Industrial Component R3,X98135/,3002
Company A/S,XYZ0071,Industrial Component S3,X98135/,3002
Company A/S,XYZ0072,Industrial Component T3,X98135/,3002
Company A/S,XYZ0073,Industrial Component U3,X98135/,3002
Company A/S,XYZ0074,Industrial Component V3,X98135/,3002
Company A/S,XYZ0075,Industrial Component W3,X98135/,3002
Company A/S,XYZ0076,Industrial Component X3,X98135/,3002
Company A/S,XYZ0077,Industrial Component Y3,X98135/,3002
Company A/S,XYZ0078,Industrial Component Z3,X98135/,3002
Company A/S,XYZ0079,Industrial Component A4,X98135/,3002
Company A/S,XYZ0080,Industrial Component B4,X98135/,3002
Company A/S,XYZ0081,Industrial Component C4,X98135/,3002
Company A/S,XYZ0082,Industrial Component D4,X98135/,3002
Company A/S,XYZ0083,Industrial Component E4,X98135/,3002
Company A/S,XYZ0084,Industrial Component F4,X98135/,3002
Company A/S,XYZ0085,Industrial Component G4,X98135/,3002
Company A/S,XYZ0086,Industrial Component H4,X98135/,3002
Company A/S,XYZ0087,Industrial Component I4,X98135/,3002
Company A/S,XYZ0088,Industrial Component J4,X98135/,3002
Company A/S,XYZ0089,Industrial Component K4,X98135/,3002
Company A/S,XYZ0090,Industrial Component L4,X98135/,3002
Company BV,XYZ0001,Industrial Component A1,X98135/,3002
Company BV,XYZ0002,Industrial Component B1,X98135/,3002
Company BV,XYZ0003,Industrial Component C1,X98135/,3002
Company BV,XYZ0004,Industrial Component D1,X98135/,3002
Company BV,XYZ0005,Industrial Component E1,X98135/,3002
Company BV,XYZ0006,Industrial Component F1,X98135/,3002
Company BV,XYZ0007,Industrial Component G1,X98135/,3002
Company BV,XYZ0008,Industrial Component H1,X98135/,3002
Company BV,XYZ0009,Industrial Component I1,X98135/,3002
Company BV,XYZ0010,Industrial Component J1,X98135/,3002
Company BV,XYZ0011,Industrial Component K1,X98135/,3002
Company BV,XYZ0012,Industrial Component L1,X98135/,3002
Company BV,XYZ0013,Industrial Component M1,X98135/,3002
Company BV,XYZ0014,Industrial Component N1,X98135/,3002
Company BV,XYZ0015,Industrial Component O1,X98135/,3002
Company BV,XYZ0016,Industrial Component P1,X98135/,3002
Company BV,XYZ0017,Industrial Component Q1,X98135/,3002
Company BV,XYZ0018,Industrial Component R1,X98135/,3002
Company BV,XYZ0019,Industrial Component S1,X98135/,3002
Company BV,XYZ0020,Industrial Component T1,X98135/,3002
Company BV,XYZ0021,Industrial Component U1,X98135/,3002
Company BV,XYZ0022,Industrial Component V1,X98135/,3002
Company BV,XYZ0023,Industrial Component W1,X98135/,3002
Company BV,XYZ0024,Industrial Component X1,X98135/,3002
Company BV,XYZ0025,Industrial Component Y1,X98135/,3002
Company BV,XYZ0026,Industrial Component Z1,X98135/,3002
Company BV,XYZ0027,Industrial Component A2,X98135/,3002
Company BV,XYZ0028,Industrial Component B2,X98135/,3002
Company BV,XYZ0029,Industrial Component C2,X98135/,3002
Company BV,XYZ0030,Industrial Component D2,X98135/,3002
Company BV,XYZ0031,Industrial Component E2,X98135/,3002
Company BV,XYZ0032,Industrial Component F2,X98135/,3002
Company BV,XYZ0033,Industrial Component G2,X98135/,3002
Company BV,XYZ0034,Industrial Component H2,X98135/,3002
Company BV,XYZ0035,Industrial Component I2,X98135/,3002
Company BV,XYZ0036,Industrial Component J2,X98135/,3002
Company BV,XYZ0037,Industrial Component K2,X98135/,3002
Company BV,XYZ0038,Industrial Component L2,X98135/,3002
Company BV,XYZ0039,Industrial Component M2,X98135/,3002
Company BV,XYZ0040,Industrial Component N2,X98135/,3002
Company BV,XYZ0041,Industrial Component O2,X98135/,3002
Company BV,XYZ0042,Industrial Component P2,X98135/,3002
Company BV,XYZ0043,Industrial Component Q2,X98135/,3002
Company BV,XYZ0044,Industrial Component R2,X98135/,3002
Company BV,XYZ0045,Industrial Component S2,X98135/,3002
Company BV,XYZ0046,Industrial Component T2,X98135/,3002
Company BV,XYZ0047,Industrial Component U2,X98135/,3002
Company BV,XYZ0048,Industrial Component V2,X98135/,3002
Company BV,XYZ0049,Industrial Component W2,X98135/,3002
Company BV,XYZ0050,Industrial Component X2,X98135/,3002
Company BV,XYZ0051,Industrial Component Y2,X98135/,3002
Company BV,XYZ0052,Industrial Component Z2,X98135/,3002
Company BV,XYZ0053,Industrial Component A3,X98135/,3002
Company BV,XYZ0054,Industrial Component B3,X98135/,3002
Company BV,XYZ0055,Industrial Component C3,X98135/,3002
Company BV,XYZ0056,Industrial Component D3,X98135/,3002
Company BV,XYZ0057,Industrial Component E3,X98135/,3002
Company BV,XYZ0058,Industrial Component F3,X98135/,3002
Company BV,XYZ0059,Industrial Component G3,X98135/,3002
Company BV,XYZ0060,Industrial Component H3,X98135/,3002
Company BV,XYZ0061,Industrial Component I3,X98135/,3002
Company BV,XYZ0062,Industrial Component J3,X98135/,3002
Company BV,XYZ0063,Industrial Component K3,X98135/,3002
Company BV,XYZ0064,Industrial Component L3,X98135/,3002
Company BV,XYZ0065,Industrial Component M3,X98135/,3002
Company BV,XYZ0066,Industrial Component N3,X98135/,3002
Company BV,XYZ0067,Industrial Component O3,X98135/,3002
Company BV,XYZ0068,Industrial Component P3,X98135/,3002
Company BV,XYZ0069,Industrial Component Q3,X98135/,3002
Company BV,XYZ0070,Industrial Component R3,X98135/,3002
Company BV,XYZ0071,Industrial Component S3,X98135/,3002
Company BV,XYZ0072,Industrial Component T3,X98135/,3002
Company BV,XYZ0073,Industrial Component U3,X98135/,3002
